jam_id,type,level,severity,line_coordinates,start_location,end_location,speed_kmh,length_meters,delay_seconds,block_alert_id,block_alert_type,block_alert_description,block_alert_update_datetime_utc,block_start_datetime_utc,publish_datetime_utc,update_datetime_utc,country,city,street
1820035188,NONE,3,5,"[{'lat': -6.295313, 'lon': 106.73462}, {'lat': -6.294933, 'lon': 106.734372}, {'lat': -6.294681, 'lon': 106.734106}, {'lat': -6.294495, 'lon': 106.733725}, {'lat': -6.29439, 'lon': 106.733511}, {'lat': -6.294123, 'lon': 106.733347}, {'lat': -6.293872, 'lon': 106.733255}, {'lat': -6.293218, 'lon': 106.732989}, {'lat': -6.292989, 'lon': 106.732905}, {'lat': -6.292833, 'lon': 106.732807}, {'lat': -6.291518, 'lon': 106.731883}, {'lat': -6.291369, 'lon': 106.731238}, {'lat': -6.29136, 'lon': 106.731121}, {'lat': -6.291334, 'lon': 106.730748}, {'lat': -6.291237, 'lon': 106.730507}, {'lat': -6.291055, 'lon': 106.730265}, {'lat': -6.290847, 'lon': 106.730082}, {'lat': -6.290437, 'lon': 106.729842}, {'lat': -6.290282, 'lon': 106.729776}, {'lat': -6.290066, 'lon': 106.729716}, {'lat': -6.289634, 'lon': 106.72962}, {'lat': -6.289527, 'lon': 106.729561}]",,,6.32,911,407,,,,,,2023-11-19T02:55:26.892Z,2023-11-19T03:49:09.508Z,ID,Tangerang Selatan,Cendrawasih
1819045888,MEDIUM,4,5,"[{'lat': -6.243264, 'lon': 106.84687}, {'lat': -6.243226, 'lon': 106.847548}, {'lat': -6.243194, 'lon': 106.848192}, {'lat': -6.243178, 'lon': 106.848512}, {'lat': -6.243127, 'lon': 106.848769}, {'lat': -6.243037, 'lon': 106.849407}, {'lat': -6.243029, 'lon': 106.849592}, {'lat': -6.242997, 'lon': 106.850365}, {'lat': -6.242973, 'lon': 106.851713}, {'lat': -6.242983, 'lon': 106.852329}, {'lat': -6.242984, 'lon': 106.852642}, {'lat': -6.242992, 'lon': 106.854156}, {'lat': -6.242993, 'lon': 106.854976}, {'lat': -6.242981, 'lon': 106.855409}, {'lat': -6.242986, 'lon': 106.855653}, {'lat': -6.242987, 'lon': 106.856139}, {'lat': -6.242976, 'lon': 106.856918}, {'lat': -6.242919, 'lon': 106.859029}]",,,8.99,1348,439,,,,,,2023-11-19T02:20:26.046Z,2023-11-19T03:49:08.796Z,ID,Jakarta Selatan,MT Haryono
1819074570,NONE,5,5,"[{'lat': -6.362641, 'lon': 106.785499}, {'lat': -6.362983, 'lon': 106.786558}, {'lat': -6.362915, 'lon': 106.787119}, {'lat': -6.362705, 'lon': 106.787626}, {'lat': -6.362627, 'lon': 106.787836}, {'lat': -6.362395, 'lon': 106.788278}, {'lat': -6.3623, 'lon': 106.78862}, {'lat': -6.362248, 'lon': 106.788934}, {'lat': -6.362255, 'lon': 106.78911}, {'lat': -6.362343, 'lon': 106.789385}]",,,0.0,452,0,1747075156,ROAD_CLOSED_EVENT,Konstruksi,2023-10-03T04:41:38.697Z,2023-10-03T04:38:00.000Z,2023-11-19T02:20:27.045Z,2023-11-19T03:49:10.604Z,ID,Depok,Arah Sawangan/Bojonggede
1821334612,NONE,2,5,"[{'lat': -6.263529, 'lon': 106.866998}, {'lat': -6.263625, 'lon': 106.86753}, {'lat': -6.263666, 'lon': 106.867733}, {'lat': -6.263813, 'lon': 106.8685}, {'lat': -6.263822, 'lon': 106.86855}, {'lat': -6.263845, 'lon': 106.868661}, {'lat': -6.264143, 'lon': 106.870117}, {'lat': -6.264201, 'lon': 106.870448}, {'lat': -6.264219, 'lon': 106.870517}, {'lat': -6.264419, 'lon': 106.871257}, {'lat': -6.264531, 'lon': 106.871572}, {'lat': -6.264659, 'lon': 106.871949}, {'lat': -6.264712, 'lon': 106.872169}, {'lat': -6.264851, 'lon': 106.873744}, {'lat': -6.264956, 'lon': 106.874339}, {'lat': -6.264989, 'lon': 106.874756}, {'lat': -6.264972, 'lon': 106.874931}, {'lat': -6.264982, 'lon': 106.875066}, {'lat': -6.265033, 'lon': 106.875322}, {'lat': -6.265188, 'lon': 106.875786}]",,,16.45,994,104,,,,,,2023-11-19T03:47:51.896Z,2023-11-19T03:49:09.150Z,ID,Jakarta Timur,Cililitan Besar
1821367502,NONE,2,5,"[{'lat': -6.219505, 'lon': 106.706712}, {'lat': -6.218722, 'lon': 106.707287}, {'lat': -6.21843, 'lon': 106.707507}, {'lat': -6.21835, 'lon': 106.707572}, {'lat': -6.217699, 'lon': 106.708057}, {'lat': -6.217073, 'lon': 106.708524}, {'lat': -6.215936, 'lon': 106.709362}, {'lat': -6.215878, 'lon': 106.709404}, {'lat': -6.215169, 'lon': 106.709952}, {'lat': -6.214528, 'lon': 106.710425}, {'lat': -6.214437, 'lon': 106.710497}]",,,19.52,698,61,,,,,,2023-11-19T03:49:09.165Z,2023-11-19T03:49:09.165Z,ID,Tangerang,Raden Saleh
1821273158,NONE,2,5,"[{'lat': -6.243756, 'lon': 106.899097}, {'lat': -6.243567, 'lon': 106.898795}, {'lat': -6.243356, 'lon': 106.898515}, {'lat': -6.24233, 'lon': 106.897244}, {'lat': -6.242199, 'lon': 106.897094}, {'lat': -6.241822, 'lon': 106.896636}, {'lat': -6.24127, 'lon': 106.895945}, {'lat': -6.240881, 'lon': 106.895478}, {'lat': -6.240398, 'lon': 106.894926}, {'lat': -6.24, 'lon': 106.89447}, {'lat': -6.239741, 'lon': 106.893996}, {'lat': -6.239598, 'lon': 106.893703}, {'lat': -6.239527, 'lon': 106.893452}, {'lat': -6.239447, 'lon': 106.8931}, {'lat': -6.239413, 'lon': 106.892887}, {'lat': -6.239363, 'lon': 106.892512}, {'lat': -6.239344, 'lon': 106.891617}]",,,21.24,990,77,,,,,,2023-11-19T03:46:34.175Z,2023-11-19T03:49:08.732Z,ID,Jakarta Timur,Laksamana Malahayati
1185094244,NONE,5,5,"[{'lat': -6.368176, 'lon': 106.957293}, {'lat': -6.368569, 'lon': 106.957542}, {'lat': -6.368818, 'lon': 106.957753}, {'lat': -6.369308, 'lon': 106.958274}, {'lat': -6.369533, 'lon': 106.958406}, {'lat': -6.369711, 'lon': 106.958479}, {'lat': -6.369896, 'lon': 106.958508}, {'lat': -6.370161, 'lon': 106.95851}, {'lat': -6.370355, 'lon': 106.958472}]",,,0.0,289,0,1132655613,ROAD_CLOSED_EVENT,Konstruksi,2023-08-13T10:01:33.508Z,2023-06-16T16:49:00.000Z,2023-10-27T10:28:23.431Z,2023-11-19T03:49:09.604Z,ID,Gunung Putri,
1821363500,NONE,1,5,"[{'lat': -6.249785, 'lon': 106.944833}, {'lat': -6.249724, 'lon': 106.943877}, {'lat': -6.249667, 'lon': 106.943751}, {'lat': -6.249641, 'lon': 106.943865}, {'lat': -6.249675, 'lon': 106.944419}, {'lat': -6.249685, 'lon': 106.944836}, {'lat': -6.249702, 'lon': 106.945287}, {'lat': -6.249682, 'lon': 106.945638}, {'lat': -6.249649, 'lon': 106.946574}, {'lat': -6.249645, 'lon': 106.946696}, {'lat': -6.249638, 'lon': 106.946974}, {'lat': -6.249623, 'lon': 106.948419}, {'lat': -6.249617, 'lon': 106.94893}, {'lat': -6.249557, 'lon': 106.951506}, {'lat': -6.249596, 'lon': 106.952047}]",,,24.11,1042,60,,,,,,2023-11-19T03:49:09.119Z,2023-11-19T03:49:09.119Z,ID,Bekasi,KH Noer Ali
1821035722,NONE,1,5,"[{'lat': -6.210813, 'lon': 106.939197}, {'lat': -6.21074, 'lon': 106.939119}, {'lat': -6.210386, 'lon': 106.938631}, {'lat': -6.210069, 'lon': 106.938105}, {'lat': -6.208972, 'lon': 106.936356}, {'lat': -6.208751, 'lon': 106.935886}, {'lat': -6.208655, 'lon': 106.935827}, {'lat': -6.208577, 'lon': 106.935785}, {'lat': -6.207699, 'lon': 106.935534}, {'lat': -6.20724, 'lon': 106.935343}, {'lat': -6.206589, 'lon': 106.935095}, {'lat': -6.206378, 'lon': 106.93504}, {'lat': -6.206168, 'lon': 106.93501}, {'lat': -6.205983, 'lon': 106.935001}, {'lat': -6.20557, 'lon': 106.935003}, {'lat': -6.205224, 'lon': 106.935037}, {'lat': -6.204618, 'lon': 106.935091}, {'lat': -6.203722, 'lon': 106.93516}, {'lat': -6.203403, 'lon': 106.93518}, {'lat': -6.202786, 'lon': 106.935215}, {'lat': -6.202333, 'lon': 106.935195}, {'lat': -6.202033, 'lon': 106.935175}, {'lat': -6.201715, 'lon': 106.93516}, {'lat': -6.200457, 'lon': 106.935132}, {'lat': -6.199853, 'lon': 106.935077}, {'lat': -6.199293, 'lon': 106.935048}, {'lat': -6.198933, 'lon': 106.935036}, {'lat': -6.19855, 'lon': 106.935039}, {'lat': -6.197837, 'lon': 106.935097}, {'lat': -6.197296, 'lon': 106.935172}]",,,20.9,1716,112,,,,,,2023-11-19T03:35:00.733Z,2023-11-19T03:49:09.247Z,ID,Jakarta Timur,Penggilingan
1820891224,NONE,5,5,"[{'lat': -6.35876, 'lon': 106.791113}, {'lat': -6.359482, 'lon': 106.791182}]",,,0.0,80,0,115920286,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:27:38.882Z,2023-11-19T03:20:00.000Z,2023-11-19T03:29:53.268Z,2023-11-19T03:49:10.134Z,ID,Depok,Krukut Raya
